dhms_region_id,chromosome,region_start,region_end,dhms_state,n_bins,mean_state_posterior,length_kb,annotation,overlapping_gene,overlapping_transcript,nearest_gene,distance_to_nearest_tss
19,chr1,22027000,22028000,NPC_enriched,1,0.9517852661098507,1.0,intergenic,,,Kcnq5,80407
20,chr1,23715000,23719000,ESC_enriched,4,0.988644745983934,4.0,promoter,B3gat2,NM_172124,B3gat2,800
21,chr1,32441000,32442000,NPC_enriched,1,0.9517862974848249,1.0,gene_body,Khdrbs2,NM_133235,Gm9839,24045
22,chr1,34417000,34418000,ESC_enriched,1,0.9947148526344806,1.0,gene_body,Ptpn18,NM_011206,Ptpn18,13209
23,chr1,34578000,34582000,ESC_enriched,4,0.9928098962734694,4.0,promoter,AA619741,NR_033627,AA619741,756
24,chr1,34621000,34625000,ESC_enriched,4,0.994579511888985,4.0,promoter,Arhgef4,NM_001368773,Arhgef4,273
25,chr1,34668000,34670000,ESC_enriched,2,0.9904012819713752,2.0,gene_body,Arhgef4,NM_001368773,Arhgef4,46273
26,chr1,34690000,34699000,ESC_enriched,9,0.9958063152053531,9.0,gene_body,Arhgef4,NM_001368773,Arhgef4,71773
27,chr1,34749000,34750000,ESC_enriched,1,0.9588031253559124,1.0,gene_body,Arhgef4,NM_001368773,Fam168b,38096
28,chr1,34874000,34875000,ESC_enriched,1,0.9878641435924022,1.0,intergenic,,,Plekhb2,79996
29,chr1,36211000,36217000,ESC_enriched,6,0.9883175567225418,6.0,promoter,Neurl3,NM_153408,Neurl3,3971
30,chr1,36708000,36711000,ESC_enriched,3,0.9839102095390899,3.0,promoter,Zap70,NM_001289766,Zap70,440
31,chr1,38359000,38364000,NPC_enriched,5,0.9731814665025219,5.0,gene_body,Aff3,NM_001290814,Aff3,210290
32,chr1,38378000,38440000,NPC_enriched,62,0.996161742498123,62.0,gene_body,Aff3,NM_001290814,Aff3,162790
33,chr1,38542000,38545000,NPC_enriched,3,0.9663987621832538,3.0,gene_body,Aff3,NM_001290814,Aff3,28290
34,chr1,39594000,39597000,ESC_enriched,3,0.9835556470481127,3.0,promoter,Creg2,NM_170597,Creg2,228
35,chr1,40268000,40271000,ESC_enriched,3,0.9892743414632558,3.0,promoter,Il1rl2,NM_133193,Il1rl2,366
36,chr1,40422000,40429000,NPC_enriched,7,0.9911120793605416,7.0,gene_body,Il18r1,NM_008365,Il18r1,14949
37,chr1,42436000,42437000,ESC_enriched,1,0.9690866821738804,1.0,intergenic,,,Gm46091,192583
38,chr1,42628000,42659000,ESC_enriched,31,0.9971387163616898,31.0,promoter,2900092D14Rik;Gm46091;Pantr1;Pantr2;Pou3f3,NR_027891;NR_168293;NR_027826;NR_110495;NM_008900,2900092D14Rik,1381
39,chr1,44496000,44498000,ESC_enriched,2,0.9794661170948062,2.0,promoter,Gulp1,NM_028450,Gulp1,784
40,chr1,47232000,47236000,NPC_enriched,4,0.9697306412750073,4.0,intergenic,,,Mir6350,177670
41,chr1,50458000,50461000,NPC_enriched,3,0.9736532765359912,3.0,intergenic,,,Tmeff2,412567
42,chr1,50516000,50521000,NPC_enriched,5,0.9866620164617244,5.0,intergenic,,,Tmeff2,353567
43,chr1,50574000,50578000,NPC_enriched,4,0.9985250258190672,4.0,intergenic,,,Tmeff2,296067
44,chr1,50582000,50586000,NPC_enriched,4,0.9880666076536018,4.0,intergenic,,,Tmeff2,288067
45,chr1,50588000,50599000,NPC_enriched,11,0.9990686083555551,11.0,intergenic,,,Tmeff2,278567
46,chr1,50870000,50873000,ESC_enriched,3,0.9965508936986506,3.0,promoter,Tmeff2,NM_019790,Tmeff2,567
47,chr1,52445000,52447000,ESC_enriched,2,0.9575934928526639,2.0,promoter,Nab1,NM_008667,Nab1,1007
48,chr1,55306000,55310000,ESC_enriched,4,0.9950243522855649,4.0,promoter,Boll,NM_001368767,Boll,298
49,chr1,55350000,55352000,ESC_enriched,2,0.9999984936396302,2.0,promoter,Plcl1,NM_001114663,Plcl1,510
50,chr1,56068000,56072000,NPC_enriched,4,0.9669948263502159,4.0,intergenic,,,1700003I22Rik,106478
51,chr1,56113000,56117000,NPC_enriched,4,0.9860960943620292,4.0,intergenic,,,1700003I22Rik,151478
52,chr1,56307000,56312000,NPC_enriched,5,0.9688903741632602,5.0,intergenic,,,Hsfy2,272496
53,chr1,56912000,56931000,ESC_enriched,19,0.9993517659398746,19.0,promoter,9130024F11Rik;Satb2,NR_024326;NM_139146,9130024F11Rik,5487
54,chr1,57719000,57720000,ESC_enriched,1,0.9600315324674421,1.0,promoter,Spats2l,NM_144882,Spats2l,94
55,chr1,61572000,61575000,ESC_enriched,3,0.9976053268277959,3.0,promoter,Pard3b,NM_001081050,Pard3b,401
56,chr1,62637000,62642000,ESC_enriched,5,0.995037082117743,5.0,promoter,Nrp2,NM_001077405,Nrp2,1908
57,chr1,63210000,63219000,NPC_enriched,9,0.9900798141330704,9.0,gene_body,Zdbf2,NM_001285937,Gpr1,69508
58,chr1,63226000,63231000,NPC_enriched,5,0.9990912779519909,5.0,gene_body,Zdbf2,NM_001285937,Gpr1,83508
59,chr1,65834000,65837000,NPC_enriched,3,0.9873472465726025,3.0,intergenic,,,Crygf,25297
60,chr1,65888000,65890000,NPC_enriched,2,0.9839500164285699,2.0,intergenic,,,Crygf,28203
61,chr1,65967000,65970000,NPC_enriched,3,0.9949355686262553,3.0,intergenic,,,Crygf,107703
62,chr1,65992000,65996000,NPC_enriched,4,0.9905937079717517,4.0,intergenic,,,Crygf,133203
63,chr1,66010000,66013000,NPC_enriched,3,0.9827592434235873,3.0,intergenic,,,Crygf,150703
64,chr1,66026000,66028000,NPC_enriched,2,0.9667738743395583,2.0,intergenic,,,Crygf,166203
65,chr1,69039000,69041000,ESC_enriched,2,0.9991094963186443,2.0,promoter,Erbb4,NM_010154,Erbb4,1267
66,chr1,69309000,69312000,ESC_enriched,3,0.9872780239578195,3.0,intergenic,,,Erbb4,269233
67,chr1,72509000,72511000,ESC_enriched,2,0.9799726867162785,2.0,intergenic,,,Smarcal1,6457
68,chr1,72805000,72810000,ESC_enriched,5,0.9956893961219541,5.0,promoter,Igfbp5,NM_010518,Igfbp5,572
69,chr1,74001000,74004000,ESC_enriched,3,0.998227134349972,3.0,gene_body,Tns1,NM_001289895,Tns1,55255
70,chr1,74054000,74057000,ESC_enriched,3,0.9976588557199794,3.0,promoter,Tns1,NM_001289895,Tns1,2255
71,chr1,74301000,74302000,ESC_enriched,1,0.9650758930391129,1.0,gene_body,Catip,NM_001379457,Catip,6159
72,chr1,75024000,75025000,ESC_enriched,1,0.9500280797482851,1.0,promoter,Cnppd1;Retreg2,NM_026977;NM_001305231,Cnppd1,1422
73,chr1,75243000,75244000,ESC_enriched,1,0.9987990332229262,1.0,promoter,Des,NM_010043,Des,61
74,chr1,75258000,75261000,ESC_enriched,3,0.9896629523632529,3.0,promoter,Gm15179;Speg,NR_037976;NM_007463,Speg,1056
75,chr1,75267000,75275000,ESC_enriched,8,0.9946149568590782,8.0,gene_body,Speg,NM_007463,Speg,12556
76,chr1,75303000,75313000,ESC_enriched,10,0.9972545245844291,10.0,gene_body,Speg,NM_007463,Gmppa,11083
77,chr1,75332000,75338000,ESC_enriched,6,0.9901992427922329,6.0,promoter,Asic4,NM_183022,Asic4,1343
78,chr1,75339000,75343000,ESC_enriched,4,0.9950858640741191,4.0,gene_body,Asic4,NM_183022,Asic4,7343
79,chr1,75366000,75370000,ESC_enriched,4,0.9937071528370225,4.0,gene_body,Obsl1;Tmem198,NM_178884;NM_177056,Tmem198,5321
80,chr1,75372000,75377000,ESC_enriched,5,0.9787883831744392,5.0,gene_body,Obsl1,NM_178884,Tmem198,11821
81,chr1,76428000,76435000,NPC_enriched,7,0.9936983294534122,7.0,intergenic,,,Mir6343,38793
82,chr1,76445000,76449000,NPC_enriched,4,0.9964237750413026,4.0,intergenic,,,Mir6343,54293
83,chr1,76638000,76643000,NPC_enriched,5,0.9636811842093633,5.0,intergenic,,,Mir6343,247793
84,chr1,76798000,76817000,NPC_enriched,19,0.9922695715264348,19.0,intergenic,,,Mir6343,414793
85,chr1,76819000,76829000,NPC_enriched,10,0.9980046232953057,10.0,intergenic,,,Mir6343,431293
86,chr1,76835000,76839000,NPC_enriched,4,0.9663209439656119,4.0,intergenic,,,Mir6343,444293
87,chr1,76870000,76874000,NPC_enriched,4,0.9785274976750724,4.0,intergenic,,,Mir6343,479293
88,chr1,77978000,77983000,NPC_enriched,5,0.959898193470807,5.0,intergenic,,,Pax3,99783
89,chr1,78028000,78034000,NPC_enriched,6,0.9800311845718283,6.0,gene_body,Pax3,NM_001159520,Pax3,49283
90,chr1,79736000,79739000,ESC_enriched,3,0.9896930348637992,3.0,promoter,Serpine2,NM_009255,Serpine2,189
91,chr1,80635000,80639000,ESC_enriched,4,0.9920814826460236,4.0,promoter,Dock10,NM_175291,Dock10,577
92,chr1,82166000,82171000,ESC_enriched,5,0.9910473992929445,5.0,promoter,Irs1,NM_010570,Irs1,1963
93,chr1,83353000,83355000,NPC_enriched,2,0.9808271348812672,2.0,intergenic,,,Sphkap,66776
94,chr1,83438000,83444000,NPC_enriched,6,0.9984914890157217,6.0,intergenic,,,Sphkap,153776
95,chr1,84814000,84817000,ESC_enriched,3,0.9741187884754071,3.0,promoter,Slc16a14,NM_027921,Slc16a14,1392
96,chr1,87847000,87852000,ESC_enriched,5,0.9923833246444096,5.0,intergenic,,,Spata3,3615
97,chr1,87876000,87881000,ESC_enriched,5,0.9953931147121713,5.0,promoter,2810459M11Rik,NM_001144993,2810459M11Rik,1467
98,chr1,88958000,88961000,ESC_enriched,3,0.9799125112263241,3.0,gene_body,Akp3,NM_007432,Akp3,3376
99,chr1,89093000,89099000,ESC_enriched,6,0.9917967589651412,6.0,promoter,Efhd1,NM_028889,Efhd1,477
100,chr1,89306000,89310000,ESC_enriched,4,0.9992343790212563,4.0,gene_body,Ngef;Snorc,NM_001111314;NM_028473,Snorc,6629
101,chr1,89312000,89313000,ESC_enriched,1,0.9587565550198787,1.0,gene_body,Ngef,NM_001111314,Snorc,11129
102,chr1,89339000,89342000,ESC_enriched,3,0.9896617388358327,3.0,gene_body,Ngef,NM_001111314,Snorc,39129
103,chr1,91751000,91755000,ESC_enriched,4,0.9976915444092875,4.0,intergenic,,,Gbx2,9347
104,chr1,91759000,91766000,ESC_enriched,7,0.9949614512658498,7.0,promoter,Gbx2,NM_010262,Gbx2,153
105,chr1,91773000,91774000,ESC_enriched,1,0.994607983551846,1.0,intergenic,,,Gbx2,11153
106,chr1,91823000,91827000,ESC_enriched,4,0.9944351182014417,4.0,gene_body,Asb18,NM_001355134,Asb18,20837
107,chr1,92803000,92806000,ESC_enriched,3,0.9867780180958979,3.0,intergenic,,,Rab17,4474
108,chr1,92828000,92831000,ESC_enriched,3,0.9874809126106586,3.0,promoter,Lrrfip1,NM_001111312,Lrrfip1,368
109,chr1,93173000,93177000,ESC_enriched,4,0.9947766421171369,4.0,gene_body,Espnl,NM_001033292,Klhl30,6478
110,chr1,93242000,93245000,ESC_enriched,3,0.9944488945644815,3.0,promoter,Hes6,NM_019479,Hes6,128
111,chr1,93630000,93633000,ESC_enriched,3,0.9994696364331732,3.0,promoter,Twist2,NM_007855,Twist2,366
112,chr1,94366000,94370000,NPC_enriched,4,0.9664573496354245,4.0,intergenic,,,Olfr1414,19079
113,chr1,94419000,94425000,NPC_enriched,6,0.9740960474330697,6.0,promoter,Olfr1412,NM_146277,Olfr1412,3263
114,chr1,94453000,94457000,NPC_enriched,4,0.9732663226914351,4.0,intergenic,,,Olfr12,4714
115,chr1,94662000,94664000,ESC_enriched,2,0.9611860491044475,2.0,promoter,Gpc1,NM_016696,Gpc1,950
116,chr1,94678000,94680000,ESC_enriched,2,0.998624859509456,2.0,promoter,Gm29480;Mir149,NR_166170;NR_029559,Gm29480,203
117,chr1,94852000,94854000,ESC_enriched,2,0.9992496339429641,2.0,gene_body,Kif1a,NM_001294150,Aqp12,16261
118,chr1,94929000,94934000,ESC_enriched,5,0.9992537983531788,5.0,intergenic,,,Kif1a,18614
119,chr1,95006000,95010000,ESC_enriched,4,0.9958127595010732,4.0,gene_body,Crocc2,NM_001310428,Crocc2,9172
120,chr1,95065000,95068000,ESC_enriched,3,0.9983696810434918,3.0,promoter,Sned1,NM_172463,Sned1,198
121,chr1,95231000,95233000,ESC_enriched,2,0.989301000021412,2.0,gene_body,Ano7,NM_001271884,Ano7,27699
122,chr1,97497000,97500000,ESC_enriched,3,0.9867358809651914,3.0,promoter,Gm30431;St8sia4,NR_166710;NM_009183,Gm30431,394
123,chr1,106254000,106258000,NPC_enriched,4,0.9893915238316364,4.0,intergenic,,,Cdh20,340066
124,chr1,106596000,106599000,ESC_enriched,3,0.9929022857152977,3.0,promoter,Cdh20,NM_011800,Cdh20,1434
125,chr1,106821000,106823000,ESC_enriched,2,0.9946190318493634,2.0,gene_body,Cdh20,NM_011800,Gm29012,121999
126,chr1,108540000,108543000,ESC_enriched,3,0.9901179960609889,3.0,promoter,Bcl2,NM_009741,Bcl2,337
127,chr1,111819000,111821000,NPC_enriched,2,0.9594503893316219,2.0,gene_body,Cdh7,NM_001316743,Cdh7,9554
128,chr1,121833000,121838000,ESC_enriched,5,0.9955131570416709,5.0,promoter,Sctr,NM_001012322,Sctr,975
129,chr1,122422000,122444000,ESC_enriched,22,0.9994611786712247,22.0,promoter,En1,NM_010133,En1,2968
130,chr1,123005000,123007000,ESC_enriched,2,0.9961639132271158,2.0,intergenic,,,Celrr,91050
131,chr1,123354000,123356000,ESC_enriched,2,0.9953302784324611,2.0,promoter,Htr5b,NM_010483,Htr5b,1011
132,chr1,127504000,127506000,ESC_enriched,2,0.9627094578081603,2.0,promoter,Gpr39,NM_027677,Gpr39,459
133,chr1,127738000,127744000,ESC_enriched,6,0.9860593804468835,6.0,promoter,Lypd1,NM_145100,Lypd1,1240
134,chr1,128318000,128321000,ESC_enriched,3,0.9967258132072163,3.0,gene_body,Nckap5,NM_001081756,Nckap5,338678
135,chr1,129169000,129175000,NPC_enriched,6,0.9994945222108654,6.0,gene_body,Mgat5,NM_145128,Mgat5,139469
136,chr1,129178000,129180000,NPC_enriched,2,0.9703938126448975,2.0,gene_body,Mgat5,NM_145128,Mgat5,146469
137,chr1,131101000,131102000,ESC_enriched,1,0.9605141366332998,1.0,promoter,Thsd7b,NM_172485,Thsd7b,651
138,chr1,134707000,134713000,ESC_enriched,6,0.9887563955794404,6.0,promoter,Lrrn2,NM_010732,Lrrn2,2100
139,chr1,134728000,134731000,ESC_enriched,3,0.9667631784846864,3.0,gene_body,Lrrn2,NM_010732,Lrrn2,21600
140,chr1,134764000,134766000,ESC_enriched,2,0.9628774011494803,2.0,gene_body,Lrrn2,NM_010732,Lrrn2,57100
141,chr1,135156000,135158000,ESC_enriched,2,0.9744836644313397,2.0,gene_body,Kiss1,NM_178260,Kiss1,2243
142,chr1,135636000,135639000,ESC_enriched,3,0.9851765598873791,3.0,intergenic,,,Atp2b4,67342
143,chr1,135724000,135726000,ESC_enriched,2,0.9991427108950458,2.0,promoter,Optc,NM_001160420,Optc,590
144,chr1,136040000,136042000,ESC_enriched,2,0.9733170597927009,2.0,gene_body,Adora1,NM_001291928,Adora1,10267
145,chr1,136049000,136053000,ESC_enriched,4,0.9940151893380423,4.0,promoter,Adora1,NM_001291928,Adora1,267
146,chr1,136114000,136117000,ESC_enriched,3,0.9991723732843824,3.0,gene_body,Ppfia4,NM_001374777,Myog,9086
147,chr1,136329000,136331000,ESC_enriched,2,0.9992436657653718,2.0,intergenic,,,Rabif,18951
148,chr1,136803000,136805000,ESC_enriched,2,0.964839652576261,2.0,gene_body,Lgr6,NM_001033409,Ube2t,25025
149,chr1,136901000,136903000,ESC_enriched,2,0.9885180980842961,2.0,gene_body,Lgr6,NM_001033409,Lgr6,19687
150,chr1,137400000,137402000,ESC_enriched,2,0.9960954781734188,2.0,promoter,Nav1,NM_173437,Nav1,766
151,chr1,137733000,137736000,ESC_enriched,3,0.9936583486633795,3.0,promoter,Pkp1,NM_001313701,Pkp1,1118
152,chr1,137866000,137872000,ESC_enriched,6,0.986536100571334,6.0,promoter,Ascl5;Cacna1s,NM_001270609;NM_014193,Cacna1s,221
153,chr1,137922000,137923000,ESC_enriched,1,0.9964900014037059,1.0,gene_body,Cacna1s,NM_014193,Gm15850,25094
154,chr1,140653000,140668000,ESC_enriched,15,0.9979621011017148,15.0,promoter,Lhx9,NM_010714,Lhx9,3490
155,chr1,148258000,148262000,ESC_enriched,4,0.9818464680827483,4.0,promoter,Brinp3;Gm29514,NM_001145807;NR_166158,Brinp3,96
156,chr1,154162000,154164000,ESC_enriched,2,0.9963379584900744,2.0,promoter,Colgalt2,NM_177756,Colgalt2,916
157,chr1,154385000,154389000,ESC_enriched,4,0.9849867911320966,4.0,gene_body,Rgl1,NM_001346119,Apobec4,125768
158,chr1,155395000,155397000,NPC_enriched,2,0.9756069232824398,2.0,intergenic,,,Rgs8,31890
159,chr1,155399000,155403000,NPC_enriched,4,0.9891775589220089,4.0,intergenic,,,Rgs8,26890
160,chr1,155406000,155410000,NPC_enriched,4,0.989608119516524,4.0,intergenic,,,Rgs8,19890
161,chr1,155963000,155969000,ESC_enriched,6,0.9883096907243968,6.0,promoter,Zfp648,NM_001204908,Zfp648,2596
162,chr1,156856000,156862000,ESC_enriched,6,0.9818436445856902,6.0,promoter,Ier5,NM_010500,Ier5,2854
163,chr1,157004000,157010000,ESC_enriched,6,0.9876005129201456,6.0,promoter,BC034090,NM_001370865,BC034090,250
164,chr1,157462000,157465000,ESC_enriched,3,0.9552776781804506,3.0,gene_body,Lhx4,NM_010712,Lhx4,40745
165,chr1,158039000,158044000,ESC_enriched,5,0.9948418882804344,5.0,promoter,Fam163a,NM_177838,Fam163a,202
166,chr1,158147000,158149000,ESC_enriched,2,0.9839945015555314,2.0,promoter,Nphs2,NM_130456,Nphs2,605
167,chr1,160191000,160193000,ESC_enriched,2,0.9873013143550593,2.0,promoter,Brinp2,NM_207583,Brinp2,937
168,chr1,160199000,160200000,ESC_enriched,1,0.9791325528469496,1.0,promoter,Astn1,NM_001205204,Astn1,520
169,chr1,165144000,165153000,ESC_enriched,9,0.9996982046581255,9.0,promoter,Prrx1,NM_011127,Prrx1,1825
170,chr1,167117000,167121000,ESC_enriched,4,0.9968831648213682,4.0,intergenic,,,Gpr161,13440
171,chr1,167544000,167545000,ESC_enriched,1,0.9600648584475076,1.0,promoter,Rcsd1,NM_178593,Rcsd1,269
172,chr1,167677000,167678000,ESC_enriched,1,0.9905998080153964,1.0,gene_body,Cd247,NM_001113392,Cd247,52145
173,chr1,167680000,167682000,ESC_enriched,2,0.9973128616187226,2.0,gene_body,Cd247,NM_001113392,Cd247,55645
174,chr1,167881000,167887000,ESC_enriched,6,0.9867034238761069,6.0,intergenic,,,Pou2f1,44691
175,chr1,168090000,168094000,ESC_enriched,4,0.9993354548990608,4.0,promoter,Ildr2,NM_001357431,Ildr2,1187
176,chr1,168144000,168148000,ESC_enriched,4,0.9912343394983513,4.0,gene_body,Ildr2,NM_001357431,Ildr2,55187
177,chr1,168216000,168219000,ESC_enriched,3,0.9891146868759826,3.0,promoter,Tada1,NM_030245,Tada1,1659
178,chr1,168244000,168248000,ESC_enriched,4,0.9879328798607218,4.0,promoter,Pogk,NM_001142948,Pogk,503
179,chr1,168469000,168471000,NPC_enriched,2,0.9850788640769581,2.0,gene_body,Gm4847,NM_001164312,Gm4847,14368
180,chr1,168485000,168490000,NPC_enriched,5,0.9934966662913183,5.0,promoter,Gm4847,NM_001164312,Gm4847,3132
181,chr1,168511000,168513000,NPC_enriched,2,0.9564387428034669,2.0,gene_body,Fmo9,NM_172844,Fmo9,6520
182,chr1,169880000,169886000,NPC_enriched,6,0.9977378419116282,6.0,intergenic,,,Lmx1a,356768
183,chr1,172744000,172746000,ESC_enriched,2,0.9999987278734637,2.0,gene_body,Fcrlb,NM_001029984,Fcrlb,4616
184,chr1,173890000,173895000,ESC_enriched,5,0.9912305588200159,5.0,promoter,Nhlh1,NM_010916,Nhlh1,1771
185,chr1,174081000,174082000,ESC_enriched,1,0.9681197920840536,1.0,gene_body,Atp1a4,NM_013734,Atp1a4,13599
186,chr1,174154000,174160000,ESC_enriched,6,0.9871461898396426,6.0,gene_body,Igsf8;Kcnj9,NM_080419;NM_008429,Igsf8,7959
187,chr1,174162000,174170000,ESC_enriched,8,0.9947662967253644,8.0,promoter,Kcnj9,NM_008429,Kcnj9,3
188,chr1,174171000,174172000,ESC_enriched,1,0.9620725367132755,1.0,intergenic,,,Kcnj9,5503
189,chr1,174177000,174183000,ESC_enriched,6,0.9826146369269346,6.0,promoter,Kcnj10,NM_001039484,Kcnj10,2116
190,chr1,174398000,174400000,ESC_enriched,2,0.9596993607258691,2.0,gene_body,Vsig8,NM_177723,Vsig8,6388
191,chr1,175958000,175959000,NPC_enriched,1,0.954696779920463,1.0,intergenic,,,Olfr231,3811
192,chr1,177328000,177331000,ESC_enriched,3,0.9812854231604069,3.0,promoter,Rgs7,NM_011880,Rgs7,280
193,chr1,178670000,178673000,ESC_enriched,3,0.9694284206616754,3.0,promoter,Hmga2-ps1,NR_037996,Hmga2-ps1,1308
194,chr1,179095000,179096000,ESC_enriched,1,0.9590400983746243,1.0,intergenic,,,Akt3,10058
195,chr1,179159000,179161000,ESC_enriched,2,0.9606364679310572,2.0,intergenic,,,Akt3,74558
196,chr1,180684000,180694000,ESC_enriched,10,0.9935882406037406,10.0,gene_body,Kif26b,NM_001161665,Kif26b,323201
197,chr1,180750000,180755000,ESC_enriched,5,0.9975759228150622,5.0,gene_body,Kif26b,NM_001161665,Kif26b,386701
198,chr1,182167000,182174000,ESC_enriched,7,0.9962318784104306,7.0,promoter,Gm5069;Itpkb,NR_003623;NM_001081175,Gm5069,3276
199,chr1,182239000,182244000,ESC_enriched,5,0.9706332408390809,5.0,gene_body,Itpkb,NM_001081175,Gm5069,74276
200,chr1,182251000,182255000,ESC_enriched,4,0.981866127835696,4.0,gene_body,Itpkb,NM_001081175,Stum,67179
201,chr1,182772000,182776000,ESC_enriched,4,0.9785812346114258,4.0,promoter,Lefty1,NM_010094,Lefty1,2304
202,chr1,183189000,183192000,ESC_enriched,3,0.984112735586565,3.0,promoter,Cnih3,NM_028408,Cnih3,1198
203,chr1,184584000,184587000,ESC_enriched,3,0.9977979731649945,3.0,promoter,Ccdc185,NM_001033547,Ccdc185,355
204,chr1,186417000,186438000,ESC_enriched,21,0.9991142526102896,21.0,promoter,Hlx,NM_008250,Hlx,5781
205,chr1,186511000,186514000,ESC_enriched,3,0.9989260235014875,3.0,promoter,Mtarc1,NM_001290273,Mtarc1,412
206,chr1,186582000,186585000,ESC_enriched,3,0.9891471494308609,3.0,promoter,C130074G19Rik,NM_178692,C130074G19Rik,324
207,chr1,188404000,188408000,ESC_enriched,4,0.9945623240478967,4.0,promoter,Tgfb2,NM_009367,Tgfb2,777
208,chr1,189305000,189313000,ESC_enriched,8,0.999158914270925,8.0,intergenic,,,Esrrg,389614
209,chr1,189351000,189354000,ESC_enriched,3,0.9823781860189899,3.0,intergenic,,,Esrrg,346114
210,chr1,191042000,191047000,ESC_enriched,5,0.9946181500444393,5.0,promoter,A430027H14Rik;Kcnk2,NR_165462;NM_001281847,Kcnk2,480
211,chr1,191869000,191879000,ESC_enriched,10,0.9877312085602078,10.0,promoter,Prox1;Prox1os,NM_001360827;NR_151620,Prox1os,2917
212,chr1,192677000,192682000,ESC_enriched,5,0.995794155185866,5.0,promoter,Vash2,NM_144879,Vash2,113
213,chr1,192883000,192887000,ESC_enriched,4,0.9982462147335005,4.0,promoter,Atf3,NM_007498,Atf3,1052
214,chr1,193684000,193688000,ESC_enriched,4,0.9869867457420323,4.0,gene_body,Rd3,NM_023727,Rd3,8014
215,chr1,193790000,193794000,ESC_enriched,4,0.9817203345367783,4.0,promoter,Traf5,NM_011633,Traf5,1206
216,chr1,194470000,194473000,ESC_enriched,3,0.9775144027411996,3.0,promoter,Hhat,NM_144881,Hhat,443
217,chr1,194632000,194636000,NPC_enriched,4,0.981197096705912,4.0,gene_body,Syt14,NM_001301370,Gm15867,78349
218,chr1,194680000,194683000,NPC_enriched,3,0.9685355580460843,3.0,gene_body,Syt14,NM_001301370,Syt14,54999
219,chr1,194687000,194690000,NPC_enriched,3,0.9967175214878138,3.0,gene_body,Syt14,NM_001301370,Syt14,47999
220,chr1,194696000,194700000,NPC_enriched,4,0.9924044136166736,4.0,gene_body,Syt14,NM_001301370,Syt14,38499
221,chr1,194702000,194707000,NPC_enriched,5,0.9894320295625135,5.0,gene_body,Syt14,NM_001301370,Syt14,31999
222,chr1,194721000,194738000,NPC_enriched,17,0.9982841571141475,17.0,promoter,Syt14,NM_001301370,Syt14,6999
223,chr1,196320000,196323000,ESC_enriched,3,0.9978392388757308,3.0,promoter,Plxna2,NM_008882,Plxna2,948
224,chr10,4423000,4426000,ESC_enriched,3,0.9852503186600523,3.0,promoter,Rgs17,NM_001161822,Rgs17,360
225,chr10,4702000,4705000,NPC_enriched,3,0.9826364936257491,3.0,gene_body,Vip,NM_001313969,Vip,3823
226,chr10,6978000,6981000,ESC_enriched,3,0.9872505409054426,3.0,promoter,Ppp1r14c,NM_133485,Ppp1r14c,891
227,chr10,7556000,7559000,ESC_enriched,3,0.9926688363796209,3.0,gene_body,Zc3h12d,NM_172785,Mir5104,30930
