chromosome,bin,bin_start,bin_end,esc_counts,npc_counts,F_score,putative_sites,region_id,esc_intensity,npc_intensity,intensity_ratio,log_ratio,fold_change_state,esc_alpha_post,esc_beta_post,npc_alpha_post,npc_beta_post,non_diff_emission,esc_emission,npc_emission,non_diff_posterior,esc_posterior,npc_posterior,hmm_state,dhms_state,dhms_region_id,state_posterior
chr1,5010,5010000,5011000,56,5,9.19878668841579e-06,True,260,6.209914728065655e-06,5.665729869708988e-07,10.960485005234847,2.3942965328432146,ESC enriched,57,9178813,6,10589980,0.0002392131667854874,3.9995221408339177,2.0708267593087437e-33,1.3536093676168199e-07,0.9999998646390632,1.0035930021453183e-44,ESC_enriched,ESC_enriched,4,0.9999998646390632
chr1,5011,5011000,5012000,28,7,5.16572343460928e-06,True,260,3.15943030024393e-06,7.554306492945317e-07,4.182290330944877,1.430859022543358,ESC enriched,29,9178841,8,10589978,0.3542387592139695,3.2915228479136234,1.7153042927914786e-12,0.0002479112661169328,0.999752088733883,1.7273960844782966e-24,ESC_enriched,ESC_enriched,4,0.999752088733883
chr1,5012,5012000,5013000,33,9,6.182562396332595e-06,True,260,3.704159662354952e-06,9.442883116181646e-07,3.922699896610367,1.3667801658588354,ESC enriched,34,9178836,10,10589976,0.41008899554146105,3.179822343575524,2.1349617095422983e-14,0.0003197784734013477,0.9996802215265987,2.918298919763238e-23,ESC_enriched,ESC_enriched,4,0.9996802215265987
chr1,5013,5013000,5014000,19,0,2.9075194574262637e-06,True,260,2.1789174484440894e-06,9.442883116181646e-08,23.074705274178626,3.1387370077907106,ESC enriched,20,9178850,1,10589985,0.0029831669202931145,3.994034231769792,3.875257305205536e-13,0.00024151409643536698,0.9997584859035645,6.874305411267308e-19,ESC_enriched,ESC_enriched,4,0.9997584859035645
chr1,5906,5906000,5907000,113,19,1.9683260897498888e-05,True,340,1.241982945613131e-05,1.8885766232363292e-06,6.576291003140909,1.8834709090772241,ESC enriched,114,9178756,20,10589966,0.0003414832520767662,3.999317556256456,4.3159166921718565e-55,0.00016462671427309208,0.9998353732857269,1.4746211644966787e-59,ESC_enriched,ESC_enriched,5,0.9998353732857269
chr1,5907,5907000,5908000,86,16,1.5173969327555378e-05,True,340,9.47829090073179e-06,1.6052901297508797e-06,5.904409878981003,1.7756995088350875,ESC enriched,87,9178783,17,10589969,0.005176609244489454,3.9896474602717222,2.3886364713086377e-39,0.0014900948439385971,0.9985099051560614,1.0671738005153444e-44,ESC_enriched,ESC_enriched,5,0.9985099051560614
chr1,6431,6431000,6432000,17,0,2.6014647776971835e-06,True,393,1.9610257035996804e-06,9.442883116181646e-08,20.767234746760764,3.0333764921328843,ESC enriched,18,9178852,1,10589985,0.005718905429491945,3.988562753191784,8.164149927744603e-12,0.007898094907288053,0.9921019050927105,1.4641160631288968e-15,ESC_enriched,ESC_enriched,6,0.9921019050927105
chr1,6432,6432000,6433000,10,1,1.6561245298457095e-06,True,393,1.1984045966442492e-06,1.8885766232363292e-07,6.345543950399123,1.847752826475145,ESC enriched,11,9178859,2,10589984,0.22623594893541404,3.5475258034817765,2.737606250286263e-06,0.013703754365122797,0.9862962453008689,3.340083295601448e-10,ESC_enriched,ESC_enriched,6,0.9862962453008689
chr1,9264,9264000,9265000,0,9,1.132660180802769e-06,True,593,1.0894587242220447e-07,9.442883116181646e-07,0.11537352637089314,-2.159580358757326,NPC enriched,1,9178869,10,10589976,0.15803978076431371,1.0932799787644464e-05,3.6839099833183973,0.018407483167763163,1.6297666101263027e-09,0.9815925152024703,NPC_enriched,NPC_enriched,7,0.9815925152024703
chr1,9265,9265000,9266000,0,13,1.6360647056039998e-06,True,593,1.0894587242220447e-07,1.3220036362654303e-06,0.0824096616934951,-2.4960525953785386,NPC enriched,1,9178869,14,10589972,0.057263999798296064,6.507267348073794e-08,3.8854725454399412,0.014762523939918263,2.6921800340020902e-11,0.9852374760331599,NPC_enriched,NPC_enriched,7,0.9852374760331599
chr1,9783,9783000,9784000,24,5,4.301911812750504e-06,True,661,2.7236468105551118e-06,5.665729869708988e-07,4.807230265453881,1.5701210898768654,ESC enriched,25,9178845,6,10589980,0.2426516292044658,3.5146971712163615,9.838737905238672e-12,0.006366413335595087,0.9936335866644049,1.2199482097110979e-17,ESC_enriched,ESC_enriched,8,0.9936335866644049
chr1,9784,9784000,9785000,19,5,3.536775113427802e-06,True,661,2.1789174484440894e-06,5.665729869708988e-07,3.8457842123631045,1.3469775385626557,ESC enriched,20,9178850,6,10589980,0.5331901533774296,2.9336199514967642,6.571069217548175e-09,0.002696802337162638,0.9973031976628354,2.058536937262003e-15,ESC_enriched,ESC_enriched,8,0.9973031976628354
chr1,9785,9785000,9786000,11,2,1.9350030009105574e-06,True,661,1.3073504690664537e-06,2.832864934854494e-07,4.614941054835726,1.5292990953566106,ESC enriched,12,9178858,3,10589983,0.41705225526267187,3.165892134740381,3.6854424338851994e-06,0.003573289724661622,0.9964267102735157,1.822656039832079e-12,ESC_enriched,ESC_enriched,8,0.9964267102735157
chr1,9786,9786000,9787000,15,3,2.672963491569026e-06,True,661,1.7431339587552716e-06,3.7771532464726584e-07,4.614941054835725,1.5292990953566103,ESC enriched,16,9178854,4,10589982,0.36642802078173276,3.267144240462353,7.740159109791246e-08,0.016052560921784857,0.9839474390753338,2.8812708585810065e-12,ESC_enriched,ESC_enriched,8,0.9839474390753338
chr1,9833,9833000,9834000,18,2,3.006194379962339e-06,True,670,2.069971576021885e-06,2.832864934854494e-07,7.306990003489899,1.9888314247350505,ESC enriched,19,9178851,3,10589983,0.08647424083823554,3.8270520363315663,2.3810320525040163e-10,0.016174034782021392,0.9838259652179786,4.297189019338442e-17,ESC_enriched,ESC_enriched,9,0.9838259652179786
chr1,9834,9834000,9835000,24,2,3.92435841914958e-06,True,670,2.7236468105551118e-06,2.832864934854494e-07,9.614460530907762,2.263268270436811,ESC enriched,25,9178845,3,10589983,0.019356899521192142,3.961286757279592,3.656548484809806e-14,0.00010718581055367869,0.9998928141894463,3.178591801661689e-21,ESC_enriched,ESC_enriched,9,0.9998928141894463
chr1,9835,9835000,9836000,28,3,4.662318909808048e-06,True,670,3.15943030024393e-06,3.7771532464726584e-07,8.364580661889754,2.124006203103303,ESC enriched,29,9178841,4,10589982,0.02216368852753021,3.9556731776743224,2.1708729732658545e-15,0.00023177855416932255,0.9997682214458307,1.74187182940112e-22,ESC_enriched,ESC_enriched,9,0.9997682214458307
chr1,9836,9836000,9837000,18,3,3.1320455111626467e-06,True,670,2.069971576021885e-06,3.7771532464726584e-07,5.480242502617425,1.7011493522832697,ESC enriched,19,9178851,4,10589982,0.20419411076290345,3.591612228562651,1.374776567072981e-09,0.034348282843819716,0.9656517171561798,4.1832909133798176e-16,ESC_enriched,ESC_enriched,9,0.9656517171561798
chr1,12977,12977000,12978000,60,7,1.0062598310274566e-05,True,1092,6.645698217754473e-06,7.554306492945317e-07,8.797231385780602,2.174437056730195,ESC enriched,61,9178809,8,10589978,0.0008201492964093794,3.9983602682451633,3.599711476580803e-33,0.0010011284362508141,0.9989988715637492,5.889585709657194e-37,ESC_enriched,ESC_enriched,10,0.9989988715637492
chr1,12978,12978000,12979000,12,3,2.2138814719754054e-06,True,1092,1.4162963414886582e-06,3.7771532464726584e-07,3.749639607054027,1.321659730578366,ESC enriched,13,9178857,4,10589982,0.6222174818434821,2.755561234847478,4.0157827764486614e-06,0.009671069928288095,0.9903289300708875,8.243844605256925e-13,ESC_enriched,ESC_enriched,10,0.9903289300708875
chr1,12979,12979000,12980000,15,7,3.1763680163702565e-06,True,1092,1.7431339587552716e-06,7.554306492945317e-07,2.3074705274178626,0.836151914796665, non differential,16,9178854,8,10589978,1.4120434801103003,1.175905180237183,7.625788610839526e-06,0.043208105364699746,0.9567918946278052,7.495114014235816e-12,ESC_enriched,ESC_enriched,10,0.9567918946278052
chr1,13110,13110000,13111000,32,1,5.022726006865594e-06,True,1116,3.595213789932748e-06,1.8885766232363292e-07,19.03663185119737,2.9463651151432546,ESC enriched,33,9178837,2,10589984,0.0004412644768878819,3.9991180380991374,7.201082143651957e-20,3.396359918826621e-05,0.9999660364008118,2.762572598427618e-26,ESC_enriched,ESC_enriched,11,0.9999660364008118
chr1,13111,13111000,13112000,43,9,7.712835794977998e-06,True,1116,4.793618386576997e-06,9.442883116181646e-07,5.076435160319298,1.6246092751609353,ESC enriched,44,9178826,10,10589976,0.09956107941926301,3.800878351983444,3.297668603511034e-21,5.9261171940854994e-05,0.9999407388280592,5.8726015285894286e-31,ESC_enriched,ESC_enriched,11,0.9999407388280592
chr1,13112,13112000,13113000,29,4,4.941197380872896e-06,True,1116,3.268376172666134e-06,4.721441558090823e-07,6.922411582253588,1.9347642034647747,ESC enriched,30,9178840,5,10589981,0.04551549169207094,3.908969558098039,4.198711431595443e-15,0.00021763826563291587,0.9997823617343671,8.204217888818437e-23,ESC_enriched,ESC_enriched,11,0.9997823617343671
chr1,13113,13113000,13114000,13,4,2.4927599430402537e-06,True,1116,1.5252422139108628e-06,4.721441558090823e-07,3.2304587383850083,1.1726241514178781,ESC enriched,14,9178856,5,10589981,0.822955824547721,2.3540845741496774,3.877192605426044e-06,0.014984992735872702,0.9850150072639862,1.410678156729291e-13,ESC_enriched,ESC_enriched,11,0.9850150072639862
chr1,13916,13916000,13917000,1,10,1.4115386518676172e-06,True,1244,2.1789174484440895e-07,1.038717142779981e-06,0.20977004794707846,-1.5617433580017055,NPC enriched,2,9178868,11,10589975,0.42494615539885977,2.7162024147744492e-05,3.1500809394059583,0.035337841043840676,2.6143340981992804e-09,0.9646621563418253,NPC_enriched,NPC_enriched,12,0.9646621563418253
chr1,13917,13917000,13918000,7,22,3.839916265458551e-06,True,1244,8.715669793776358e-07,2.1718631167217783e-06,0.4012992221596284,-0.9130479400125938, non differential,8,9178862,23,10589963,1.292044877813827,1.5011376164342616e-07,1.4159099275371327,0.02504930518221929,2.8533117159296066e-12,0.9749506948149275,NPC_enriched,NPC_enriched,12,0.9749506948149275
chr1,13918,13918000,13919000,1,8,1.1598363894670015e-06,True,1244,2.1789174484440895e-07,8.498594804563481e-07,0.25638561415754035,-1.3610726625395542,NPC enriched,2,9178868,9,10589977,0.614516840667662,0.0002952133015499866,2.770671324048964,0.015249908159475868,1.0163504386783355e-08,0.9847500816770197,NPC_enriched,NPC_enriched,12,0.9847500816770197
chr1,13919,13919000,13920000,1,12,1.6632409142682325e-06,True,1244,2.1789174484440895e-07,1.2275748051036138e-06,0.17749773287829715,-1.7287974426648716,NPC enriched,2,9178868,13,10589973,0.2888863871096781,2.4339501904585377e-06,3.4222251540481485,0.013860284436127199,1.7852321142691217e-10,0.9861397153853496,NPC_enriched,NPC_enriched,12,0.9861397153853496
chr1,13920,13920000,13921000,2,11,1.690417122932465e-06,True,1244,3.2683761726661343e-07,1.1331459739417975e-06,0.2884338159272329,-1.2432896268831708,NPC enriched,3,9178867,12,10589974,0.7238459509076081,4.247190017718079e-05,2.5522659543028965,0.024109958957663106,1.2437655741992087e-08,0.9758900286046811,NPC_enriched,NPC_enriched,12,0.9758900286046811
chr1,14490,14490000,14491000,17,2,2.8531670400977988e-06,True,1334,1.9610257035996804e-06,2.832864934854494e-07,6.922411582253588,1.9347642034647747,ESC enriched,18,9178852,3,10589983,0.1097588714465198,3.780482761181131,9.625238723462233e-10,0.008444591265030102,0.9915554087349698,2.783979708086571e-20,ESC_enriched,ESC_enriched,13,0.9915554087349698
chr1,14491,14491000,14492000,37,0,5.662011574987988e-06,True,1334,4.13994315204377e-06,9.442883116181646e-08,43.8419400209394,3.7805908939631054,ESC enriched,38,9178832,1,10589985,8.530177782062204e-06,3.999983506942847,1.544933333927363e-24,2.3975108886113634e-08,0.9999999760248912,9.645090027512481e-34,ESC_enriched,ESC_enriched,13,0.9999999760248912
chr1,14492,14492000,14493000,42,3,6.804701667911611e-06,True,1334,4.684672514154792e-06,3.7771532464726584e-07,12.402654084871012,2.5179104888103914,ESC enriched,43,9178827,4,10589982,0.0006537940825822137,3.9986929787671532,1.9499679010484922e-24,3.0405865644950574e-06,0.9999969594134356,1.724540614955642e-35,ESC_enriched,ESC_enriched,13,0.9999969594134356
chr1,14493,14493000,14494000,11,2,1.9350030009105574e-06,True,1334,1.3073504690664537e-06,2.832864934854494e-07,4.614941054835726,1.5292990953566106,ESC enriched,12,9178858,3,10589983,0.41705225526267187,3.165892134740381,3.6854424338851994e-06,0.01519073147565464,0.9848092685242409,1.0445533252109746e-13,ESC_enriched,ESC_enriched,13,0.9848092685242409
chr1,14886,14886000,14887000,1,11,1.5373897830679246e-06,True,1406,2.1789174484440895e-07,1.1331459739417975e-06,0.19228921061815524,-1.6487547349913352,NPC enriched,2,9178868,12,10589974,0.35102348078855555,8.15365744236634e-06,3.297945424287135,0.01309779635255138,2.6975294664666277e-10,0.9869022033776956,NPC_enriched,NPC_enriched,14,0.9869022033776956
chr1,14887,14887000,14888000,0,9,1.132660180802769e-06,True,1406,1.0894587242220447e-07,9.442883116181646e-07,0.11537352637089314,-2.159580358757326,NPC enriched,1,9178869,10,10589976,0.15803978076431371,1.0932799787644464e-05,3.6839099833183973,0.007095567682743643,7.650390663672871e-10,0.9929044315522173,NPC_enriched,NPC_enriched,14,0.9929044315522173
chr1,14888,14888000,14889000,2,7,1.1870125981312342e-06,True,1406,3.2683761726661343e-07,7.554306492945317e-07,0.4326507238908493,-0.8378245187750064, non differential,3,9178867,8,10589978,1.20651573771325,0.0036216187019181196,1.5833467887701362,0.010834791271318638,3.293494535635875e-08,0.9891651757937361,NPC_enriched,NPC_enriched,14,0.9891651757937361
chr1,14889,14889000,14890000,1,10,1.4115386518676172e-06,True,1406,2.1789174484440895e-07,1.038717142779981e-06,0.20977004794707846,-1.5617433580017055,NPC enriched,2,9178868,11,10589975,0.42494615539885977,2.7162024147744492e-05,3.1500809394059583,0.015514645403996734,1.0436123654860378e-08,0.9844853441598796,NPC_enriched,NPC_enriched,14,0.9844853441598796
chr1,15877,15877000,15878000,34,3,5.58048294899529e-06,True,1543,3.8131055347771565e-06,3.7771532464726584e-07,10.095183557453149,2.312058434606243,ESC enriched,35,9178835,4,10589982,0.005113206017315186,3.9897741523679686,5.524993218241475e-19,0.0032464859240256987,0.9967535140759743,5.1432642119791696e-23,ESC_enriched,ESC_enriched,15,0.9967535140759743
chr1,15878,15878000,15879000,19,6,3.66262624462811e-06,True,1543,2.1789174484440894e-06,6.610018181327152e-07,3.2963864677398043,1.1928268587353974,ESC enriched,20,9178850,7,10589979,0.7757961805014715,2.4484077437731337,2.241546710293136e-08,0.022080045425744453,0.9779199545742421,1.3441623071211891e-14,ESC_enriched,ESC_enriched,15,0.9779199545742421
chr1,16078,16078000,16079000,35,2,5.607659157659522e-06,True,1568,3.922051407199361e-06,2.832864934854494e-07,13.844823164507176,2.62791138402472,ESC enriched,36,9178834,3,10589983,0.0010201112572999224,3.997960344209941,1.319865242040842e-20,0.0008461767549114555,0.9991538232450885,4.598382157491721e-23,ESC_enriched,ESC_enriched,16,0.9991538232450885
chr1,18965,18965000,18966000,0,15,1.8877669680046153e-06,True,1811,1.0894587242220447e-07,1.5108612985890634e-06,0.07210845398180821,-2.6295839880030614,NPC enriched,1,9178869,16,10589970,0.03446927157762216,5.0203268784766004e-09,3.931062062861459,0.01604932895779942,3.755990593685014e-12,0.9839506710384446,NPC_enriched,NPC_enriched,17,0.9839506710384446
chr1,18966,18966000,18967000,2,9,1.4387148605318494e-06,True,1811,3.2683761726661343e-07,9.442883116181646e-07,0.34612057911267946,-1.0609680700892161, non differential,3,9178867,10,10589976,0.9488662923462677,0.0004035541842439508,2.101863890131582,0.020870916689722938,1.0844159972680321e-08,0.9791290724661171,NPC_enriched,NPC_enriched,17,0.9791290724661171
chr1,18967,18967000,18968000,1,10,1.4115386518676172e-06,True,1811,2.1789174484440895e-07,1.038717142779981e-06,0.20977004794707846,-1.5617433580017055,NPC enriched,2,9178868,11,10589975,0.42494615539885977,2.7162024147744492e-05,3.1500809394059583,0.03195533939667364,2.4805751442358137e-09,0.9680446581227512,NPC_enriched,NPC_enriched,17,0.9680446581227512
chr1,21945,21945000,21946000,58,5,9.504841368144869e-06,True,2222,6.427806472910064e-06,5.665729869708988e-07,11.34506342647116,2.4287827089143845,ESC enriched,59,9178811,6,10589980,0.00014579813840815203,3.9997089709436717,2.014035600567343e-34,4.013272338156271e-05,0.9999598672766185,4.648160778386898e-41,ESC_enriched,ESC_enriched,18,0.9999598672766185
chr1,21946,21946000,21947000,33,4,5.553306740331057e-06,True,2222,3.704159662354952e-06,4.721441558090823e-07,7.845399793220734,2.059927346418781,ESC enriched,34,9178836,5,10589981,0.01888674018592291,3.962227076218667,1.687243144607182e-17,9.699561587178781e-06,0.9999903004384129,1.313029459115287e-30,ESC_enriched,ESC_enriched,18,0.9999903004384129
chr1,21947,21947000,21948000,69,6,1.1313993237855118e-05,True,2222,7.626211069554313e-06,6.610018181327152e-07,11.537352637089315,2.4455898272307657,ESC enriched,70,9178800,7,10589979,3.2569966701820304e-05,3.999935427351386,1.8376313706798091e-38,7.983264110026304e-08,0.999999920167359,3.0764428513072706e-47,ESC_enriched,ESC_enriched,18,0.999999920167359
chr1,21948,21948000,21949000,26,10,5.237222148481122e-06,True,2222,2.9415385553995208e-06,1.038717142779981e-06,2.831895647285559,1.0409463274426785, non differential,27,9178843,11,10589975,1.086788115712269,1.8264238049808086,3.5739539774496783e-10,0.007098861517438187,0.9929011384825618,2.824010879346794e-21,ESC_enriched,ESC_enriched,18,0.9929011384825618
chr1,21949,21949000,21950000,13,2,2.241057680639638e-06,True,2222,1.5252422139108628e-06,2.832864934854494e-07,5.384097897308347,1.6834497751838688,ESC enriched,14,9178856,3,10589983,0.27300524321329533,3.4539896832484316,2.42751475269981e-07,0.01503678669411641,0.9849632132829563,2.2927161364030873e-11,ESC_enriched,ESC_enriched,18,0.9849632132829563
chr1,22027,22027000,22028000,0,13,1.6360647056039998e-06,True,2230,1.0894587242220447e-07,1.3220036362654303e-06,0.0824096616934951,-2.4960525953785386,NPC enriched,1,9178869,14,10589972,0.057263999798296064,6.507267348073794e-08,3.8854725454399412,0.048214733048601556,8.415477238522081e-10,0.9517852661098507,NPC_enriched,NPC_enriched,19,0.9517852661098507
chr1,23715,23715000,23716000,55,14,1.0178419529354019e-05,True,2499,6.100968855643451e-06,1.4164324674272468e-06,4.307278317846678,1.4603062238696591,ESC enriched,56,9178814,15,10589971,0.1812471446313875,3.637506138215342,4.660859120597728e-25,0.04364061831506352,0.9563593816849365,1.779382824604262e-38,ESC_enriched,ESC_enriched,20,0.9563593816849365
chr1,23716,23716000,23717000,98,5,1.562593496272648e-05,True,2499,1.0785641369798243e-05,5.665729869708988e-07,19.03663185119737,2.9463651151432546,ESC enriched,99,9178771,6,10589980,3.5573130741191264e-09,4.000000560188572,2.3724510048538656e-56,4.458555661562722e-11,0.9999999999554144,3.965919564516912e-64,ESC_enriched,ESC_enriched,20,0.9999999999554144
chr1,23717,23717000,23718000,42,6,7.182255061512535e-06,True,2499,4.684672514154792e-06,6.610018181327152e-07,7.087230905640579,1.958294700874969,ESC enriched,43,9178827,7,10589979,0.01597988692600946,3.9680407843857775,3.8014095977083136e-22,1.5753982568295878e-05,0.9999842460174317,7.235909826338742e-37,ESC_enriched,ESC_enriched,20,0.9999842460174317
chr1,23718,23718000,23719000,18,2,3.006194379962339e-06,True,2499,2.069971576021885e-06,2.832864934854494e-07,7.306990003489899,1.9888314247350505,ESC enriched,19,9178851,3,10589983,0.08647424083823554,3.8270520363315663,2.3810320525040163e-10,0.0017646437220464018,0.9982353562779536,3.3633938857434688e-18,ESC_enriched,ESC_enriched,20,0.9982353562779536
chr1,32441,32441000,32442000,0,17,2.1394692304052307e-06,True,3177,1.0894587242220447e-07,1.6997189609126962e-06,0.06409640353938509,-2.7473670236594447,NPC enriched,1,9178869,18,10589968,0.020748290745272714,3.8731574717823e-10,3.958504010262877,0.048213702501252065,1.3923082065408713e-11,0.9517862974848249,NPC_enriched,NPC_enriched,21,0.9517862974848249
chr1,34417,34417000,34418000,44,5,7.362458610041307e-06,True,3435,4.902564258999202e-06,5.665729869708988e-07,8.653014477816987,2.1579077547789844,ESC enriched,45,9178825,6,10589980,0.004154981578007727,3.9916906017900504,2.723106767842915e-24,0.005285147365519358,0.9947148526344806,5.384355412761239e-28,ESC_enriched,ESC_enriched,22,0.9947148526344806
chr1,34578,34578000,34579000,10,0,1.5302733986454019e-06,True,3465,1.1984045966442492e-06,9.442883116181646e-08,12.691087900798246,2.5409000070350904,ESC enriched,11,9178859,1,10589985,0.05578730027610018,3.888425647970425,2.8713230926777026e-07,0.015991423420424884,0.9840085765791352,4.3977333495441574e-13,ESC_enriched,ESC_enriched,23,0.9840085765791352
chr1,34579,34579000,34580000,19,2,3.159221719826879e-06,True,3465,2.1789174484440894e-06,2.832864934854494e-07,7.691568424726209,2.040124719122601,ESC enriched,20,9178850,3,10589983,0.06788689295804926,3.8642267428160757,5.862846390801443e-11,0.0005905621725060267,0.999409437827494,3.237330905454585e-17,ESC_enriched,ESC_enriched,23,0.999409437827494
chr1,34580,34580000,34581000,18,4,3.2578966423629545e-06,True,3465,2.069971576021885e-06,4.721441558090823e-07,4.384194002093939,1.4780058009690598,ESC enriched,19,9178851,5,10589981,0.3840315041837559,3.231937334848271,6.225134860840468e-09,0.0016771275081992564,0.9983228724918002,5.660764260455701e-16,ESC_enriched,ESC_enriched,23,0.9983228724918002
chr1,34581,34581000,34582000,16,4,2.9518419626338735e-06,True,3465,1.852079831177476e-06,4.721441558090823e-07,3.922699896610367,1.3667801658588354,ESC enriched,17,9178853,5,10589981,0.531541899945212,2.93691638157599,8.429137769482364e-08,0.010501301804516474,0.9894986981954482,3.52627922641067e-14,ESC_enriched,ESC_enriched,23,0.9894986981954482
chr1,34621,34621000,34622000,20,2,3.312249059691419e-06,True,3472,2.287863320866294e-06,2.832864934854494e-07,8.076146845962521,2.0889148832920332,ESC enriched,21,9178849,3,10589983,0.05311988586994305,3.8937607654139135,1.4375415192304964e-11,0.00541118612812595,0.9945888138718741,1.8097898692353946e-18,ESC_enriched,ESC_enriched,24,0.9945888138718741
chr1,34622,34622000,34623000,58,11,1.0259948155346714e-05,True,3472,6.427806472910064e-06,1.1331459739417975e-06,5.67253171323558,1.735635528354439,ESC enriched,59,9178811,12,10589974,0.027040903119602493,3.945918917078854,1.220618120357375e-28,5.55543772473351e-05,0.9999444456227528,9.168945750988929e-37,ESC_enriched,ESC_enriched,24,0.9999444456227528
chr1,34623,34623000,34624000,26,2,4.230413098878661e-06,True,3472,2.9415385553995208e-06,2.832864934854494e-07,10.383617373380382,2.340229311572939,ESC enriched,27,9178843,3,10589983,0.011517516897542499,3.9769655269742463,2.936748336934715e-15,5.843575647215763e-05,0.9999415642435279,6.23117645527446e-23,ESC_enriched,ESC_enriched,24,0.9999415642435279
chr1,34624,34624000,34625000,34,6,5.958036342596213e-06,True,3472,3.8131055347771565e-06,6.610018181327152e-07,5.7686763185446575,1.7524426466708203,ESC enriched,35,9178835,7,10589979,0.07652174662316982,3.8469570306467253,1.0769359877586939e-16,0.01615677618221489,0.9838432238177851,1.1941319663794641e-23,ESC_enriched,ESC_enriched,24,0.9838432238177851
